match_id,date,venue,teams,match_type,toss_winner,toss_decision,winner,player_of_match
1275040,2021-09-11,Entebbe Cricket Oval,"Uganda, Nigeria",T20,Uganda,bat,Uganda,
1275042,2021-09-13,Entebbe Cricket Oval,"Kenya, Nigeria",T20,Kenya,bat,Kenya,IA Karim
1275043,2021-09-13,Entebbe Cricket Oval,"Nigeria, Uganda",T20,Nigeria,bat,Uganda,
1275044,2021-09-10,Entebbe Cricket Oval,"Kenya, Uganda",T20,Kenya,bat,Kenya,
1275045,2021-09-16,Entebbe Cricket Oval,"Nigeria, Kenya",T20,Nigeria,bat,Nigeria,JO Adedeji
1275047,2021-09-15,Entebbe Cricket Oval,"Uganda, Nigeria",T20,Uganda,bat,Uganda,JO Adedeji
1275051,2021-09-17,Entebbe Cricket Oval,"Uganda, Kenya",T20,Uganda,bat,Uganda,F Akankwasa
1275052,2021-09-10,"Desert Springs Cricket Ground, Almeria","Spain, Germany",T20,Germany,field,Germany,
1275053,2021-09-11,"Desert Springs Cricket Ground, Almeria","Germany, Spain",T20,Germany,bat,Spain,
1275054,2021-09-11,"Desert Springs Cricket Ground, Almeria","Germany, Spain",T20,Spain,field,Spain,
1275074,2021-08-29,Guttsta Wicked Cricket Club,"Norway, Sweden",T20,Sweden,field,Sweden,N Kayani
1275104,2021-09-09,"Botswana Cricket Association Oval 1, Gaborone","Mozambique, Rwanda",T20,Rwanda,field,Rwanda,I Muhawenimana
1275106,2021-09-09,"Botswana Cricket Association Oval 1, Gaborone","Botswana, Eswatini",T20,Botswana,bat,Botswana,O Batisani
1275107,2021-09-09,"Botswana Cricket Association Oval 2, Gaborone","Sierra Leone, Nigeria",T20,Sierra Leone,bat,Nigeria,B Etim
1275108,2021-09-10,"Botswana Cricket Association Oval 1, Gaborone","Tanzania, Zimbabwe",T20,Tanzania,bat,Zimbabwe,M Musonda
1275110,2021-09-10,"Botswana Cricket Association Oval 1, Gaborone","Botswana, Mozambique",T20,Mozambique,field,Botswana,
1275111,2021-09-10,"Botswana Cricket Association Oval 2, Gaborone","Namibia, Nigeria",T20,Namibia,bat,Namibia,KA Green
1275112,2021-09-11,"Botswana Cricket Association Oval 1, Gaborone","Eswatini, Zimbabwe",T20,Eswatini,bat,Zimbabwe,E Mbofana
1275113,2021-09-15,"Botswana Cricket Association Oval 2, Gaborone","Cameroon, Sierra Leone",T20,Cameroon,bat,Sierra Leone,L Bull
1275114,2021-09-11,"Botswana Cricket Association Oval 1, Gaborone","Tanzania, Mozambique",T20,Mozambique,field,Tanzania,MA Swedy
1275115,2021-09-11,"Botswana Cricket Association Oval 2, Gaborone","Uganda, Nigeria",T20,Uganda,bat,Uganda,S Nampiina
1275116,2021-09-12,"Botswana Cricket Association Oval 1, Gaborone","Rwanda, Eswatini",T20,Rwanda,bat,Rwanda,G Ishimwe
1275118,2021-09-13,"Botswana Cricket Association Oval 1, Gaborone","Tanzania, Rwanda",T20,Tanzania,bat,Tanzania,FO Kibasu
1275122,2021-09-14,"Botswana Cricket Association Oval 1, Gaborone","Tanzania, Eswatini",T20,Tanzania,bat,Tanzania,FO Kibasu
1275125,2021-09-14,"Botswana Cricket Association Oval 2, Gaborone","Sierra Leone, Uganda",T20,Sierra Leone,bat,Uganda,K Awino
1275126,2021-09-16,"Botswana Cricket Association Oval 1, Gaborone","Mozambique, Eswatini",T20,Mozambique,bat,Mozambique,O Matsolo
1275127,2021-09-16,"Botswana Cricket Association Oval 2, Gaborone","Zimbabwe, Rwanda",T20,Rwanda,field,Zimbabwe,L Tshuma
1275128,2021-09-16,"Botswana Cricket Association Oval 1, Gaborone","Botswana, Tanzania",T20,Botswana,bat,Tanzania,PZ Kamunya
1275129,2021-09-17,"Botswana Cricket Association Oval 1, Gaborone","Zimbabwe, Uganda",T20,Zimbabwe,bat,Zimbabwe,P Marange
1275131,2021-09-19,"Botswana Cricket Association Oval 1, Gaborone","Uganda, Tanzania",T20,Uganda,bat,Tanzania,FO Kibasu
1275132,2021-09-19,"Botswana Cricket Association Oval 1, Gaborone","Zimbabwe, Namibia",T20,Zimbabwe,bat,Zimbabwe,CT Dhururu
1275268,2021-09-03,"Moara Vlasiei Cricket Ground, Ilfov County","Romania, Czech Republic",T20,Romania,bat,Romania,Sami Ullah
1275269,2021-09-02,"Moara Vlasiei Cricket Ground, Ilfov County","Luxembourg, Bulgaria",T20,Bulgaria,field,Luxembourg,TC Barker
1275270,2021-09-02,"Moara Vlasiei Cricket Ground, Ilfov County","Hungary, Czech Republic",T20,Czech Republic,field,Hungary,Zeeshan Kukikhel
1275271,2021-09-03,"Moara Vlasiei Cricket Ground, Ilfov County","Bulgaria, Malta",T20,Bulgaria,bat,Malta,Bilal Muhammad
1275272,2021-09-03,"Moara Vlasiei Cricket Ground, Ilfov County","Romania, Hungary",T20,Romania,bat,Romania,Asif Bevinje
1275274,2021-09-04,"Moara Vlasiei Cricket Ground, Ilfov County","Luxembourg, Hungary",T20,Hungary,field,Luxembourg,
1275275,2021-09-04,"Moara Vlasiei Cricket Ground, Ilfov County","Romania, Malta",T20,Malta,field,Romania,Taranjeet Singh
1275276,2021-09-05,"Moara Vlasiei Cricket Ground, Ilfov County","Malta, Hungary",T20,Hungary,field,Hungary,Zeeshan Kukikhel
1275277,2021-09-05,"Moara Vlasiei Cricket Ground, Ilfov County","Romania, Luxembourg",T20,Romania,bat,Romania,Asif Bevinje
1276904,2022-07-07,"The Rose Bowl, Southampton","India, England",T20,India,bat,India,HH Pandya
1276905,2022-07-09,"Edgbaston, Birmingham","India, England",T20,England,field,India,B Kumar
