match_id,date,venue,teams,match_type,toss_winner,toss_decision,winner,player_of_match
378755,2009-01-14,Shere Bangla National Stadium,"Bangladesh, Sri Lanka",ODI,Bangladesh,field,Bangladesh,Shakib Al Hasan
378759,2009-01-23,Shere Bangla National Stadium,"Bangladesh, Zimbabwe",ODI,Bangladesh,field,Bangladesh,Mashrafe Mortaza
380715,2009-05-24,County Ground,"England, West Indies",ODI,England,field,England,PD Collingwood
380716,2009-05-26,Edgbaston,"England, West Indies",ODI,West Indies,field,England,MJ Prior
383275,2009-08-27,"Civil Service Cricket Club, Stormont","Ireland, England",ODI,England,bat,England,DT Johnston
383283,2009-06-29,County Ground,"England, Australia",ODI,Australia,bat,England,SJ Taylor
385025,2009-01-31,Gymkhana Club Ground,"Kenya, Zimbabwe",ODI,Kenya,bat,Zimbabwe,
385749,2009-01-20,National Stadium,"Pakistan, Sri Lanka",ODI,Sri Lanka,bat,Pakistan,Salman Butt
385750,2009-01-21,National Stadium,"Pakistan, Sri Lanka",ODI,Pakistan,field,Sri Lanka,TM Dilshan
385751,2009-01-24,Gaddafi Stadium,"Pakistan, Sri Lanka",ODI,Sri Lanka,bat,Sri Lanka,TM Dilshan
386530,2009-01-28,Rangiri Dambulla International Stadium,"Sri Lanka, India",ODI,India,field,India,ST Jayasuriya
386531,2009-01-31,R Premadasa Stadium,"Sri Lanka, India",ODI,India,bat,India,I Sharma
386532,2009-02-03,R Premadasa Stadium,"Sri Lanka, India",ODI,India,bat,India,Yuvraj Singh
386533,2009-02-05,R Premadasa Stadium,"Sri Lanka, India",ODI,India,bat,India,G Gambhir
386534,2009-02-08,R Premadasa Stadium,"Sri Lanka, India",ODI,Sri Lanka,bat,Sri Lanka,KC Sangakkara
387566,2009-11-22,SuperSport Park,"South Africa, England",ODI,England,field,England,PD Collingwood
387567,2009-11-27,Newlands,"South Africa, England",ODI,South Africa,bat,South Africa,AB de Villiers
387568,2009-11-29,St George's Park,"South Africa, England",ODI,South Africa,bat,England,JM Anderson
390204,2009-04-01,Willowmoore Park,"Ireland, Scotland",ODI,Ireland,field,Ireland,WTS Porterfield
390227,2009-04-08,Willowmoore Park,"Canada, Scotland",ODI,Scotland,field,Canada,A Bagai
392616,2009-04-22,Dubai Sports City Cricket Stadium,"Australia, Pakistan",ODI,Australia,bat,Pakistan,Shahid Afridi
392617,2009-04-24,Dubai Sports City Cricket Stadium,"Australia, Pakistan",ODI,Pakistan,bat,Australia,A Symonds
392618,2009-04-27,Sheikh Zayed Stadium,"Australia, Pakistan",ODI,Australia,bat,Australia,MJ Clarke
392619,2009-05-01,Sheikh Zayed Stadium,"Australia, Pakistan",ODI,Pakistan,bat,Australia,DE Bollinger
392620,2009-05-03,Sheikh Zayed Stadium,"Australia, Pakistan",ODI,Australia,bat,Pakistan,Kamran Akmal
401073,2009-07-26,"Windsor Park, Roseau","West Indies, Bangladesh",ODI,West Indies,field,Bangladesh,Abdur Razzak
401074,2009-07-28,"Windsor Park, Roseau","West Indies, Bangladesh",ODI,West Indies,bat,Bangladesh,Shakib Al Hasan
401075,2009-07-31,"Warner Park, Basseterre","West Indies, Bangladesh",ODI,West Indies,bat,Bangladesh,Mahmudullah
403370,2009-07-30,Rangiri Dambulla International Stadium,"Sri Lanka, Pakistan",ODI,Pakistan,field,Sri Lanka,M Muralitharan
403371,2009-08-01,Rangiri Dambulla International Stadium,"Sri Lanka, Pakistan",ODI,Sri Lanka,field,Sri Lanka,CK Kapugedera
403372,2009-08-03,Rangiri Dambulla International Stadium,"Sri Lanka, Pakistan",ODI,Sri Lanka,field,Sri Lanka,DPMD Jayawardene
403373,2009-08-07,R Premadasa Stadium,"Sri Lanka, Pakistan",ODI,Pakistan,bat,Pakistan,Umar Akmal
403374,2009-08-09,R Premadasa Stadium,"Sri Lanka, Pakistan",ODI,Pakistan,bat,Pakistan,Naved-ul-Hasan
403380,2009-09-08,R Premadasa Stadium,"Sri Lanka, New Zealand",ODI,Sri Lanka,bat,Sri Lanka,TT Samaraweera
